Participant Flow,"Display: Project,Subsection, Pose, Description, Light",Higyhlight means Not being captured in Phase 2,,,,,,,,,,,
Index,Project,Sub section,task no,Pose,description Displayed to operator,Light?,test,Unit/type/file,Add. Notes,,,,
1,Garment,Every-Day/ Casual,G01,I-pose,front; using Dual capture,Overhead Light Only,,Athena image top + Athena image bottom,,,,,
2,Garment,Every-Day/ Casual,G02,I-pose,front; using Dual capture,Studio Light Only,,Athena image top + Athena image bottom,,,,,
3,Garment,Every-Day/ Casual,G03,I-pose,Right side (Turn to their left) using Dual capture,Studio,,Athena image top + Athena image bottom,,,,,
4,Garment,Every-Day/ Casual,G04,A-Pose,Front; using Dual capture,Studio,,Athena image top + Athena image bottom,,,,,
5,Garment,Every-Day/ Casual,G05,X-pose,Same pose (Use Life Lapse),Studio,,Athena image top + Athena image bottom,,,,,
6,Garment,Every-Day/ Casual,G06,Freestyle,15 second freestyle; 3-5 poses same as above (consistent),Studio,,Athena Video,,,,,
7,Garment,ASIN A,GA01,I-pose,Front,Studio,,Athena Image,,,,,
8,Garment,ASIN A,GA02,I-pose,Side,Studio,,Athena Image,,,,,
9,Garment,ASIN A,GA03,X-pose,Same pose (Use Life Lapse),Studio,,Athena Image,,,,,
10,Garment,ASIN A,GA04,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
11,Garment,ASIN B #1,GB01,I-pose,Front,Studio,,Athena Image,,,,,
12,Garment,ASIN B #1,GB02,I-pose,Side,Studio,,Athena Image,,,,,
13,Garment,ASIN B #1,GB03,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
14,Garment,ASIN B #2,GB04,I-pose,Front,Studio,,Athena Image,,,,,
15,Garment,ASIN B #2,GB05,I-pose,Side,Studio,,Athena Image,,,,,
16,Garment,ASIN B #2,GB06,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
17,Garment,ASIN C,GC01,I-pose,Front,Studio,,Athena Image,,,,,
18,Garment,ASIN C,GC02,I-pose,Side,Studio,,Athena Image,,,,,
19,Garment,ASIN C,GC03,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
20,Garment,ASIN D,GD01,I-pose,Front,Studio,,Athena Image,,,,,
21,Garment,ASIN D,GD02,I-pose,Side,Studio,,Athena Image,,,,,
22,Garment,ASIN D,GD03,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
23,Garment,ASIN E,GE01,I-pose,Front,Studio,,Athena Image,,,,,
24,Garment,ASIN E,GE02,I-pose,Side,Studio,,Athena Image,,,,,
25,Garment,ASIN E,GE03,Freestyle,15 second freestyle; 3-5 poses (consistent),Studio,,Athena Video,,,,,
26,Garment,Form Fit,G07,I-pose,front; using Dual capture,Studio,,Athena image top + Athena image bottom,,,,,
